x,y
1.574500083923339844e+00,0.000000000000000000e+00
1.580759176498466312e+00,2.759225316692875962e-02
1.556051439576569884e+00,5.433851187565898883e-02
9.476994295187682882e-01,4.966682091572922897e-02
9.267370228164262258e-01,6.480376340778067068e-02
9.254648947072562359e-01,8.096768413973579048e-02
8.910916460729929600e-01,9.365750295342822884e-02
9.141350098924957424e-01,1.122416621202627363e-01
9.283763150358439464e-01,1.304747779475690650e-01
8.780549340844001627e-01,1.390702347254443028e-01
9.271964496700462188e-01,1.634897450843700861e-01
8.922991492157482663e-01,1.734453787041600470e-01
9.077209486717023879e-01,1.929420373635524766e-01
9.003179655505421097e-01,2.078547731688570044e-01
9.028602046941412995e-01,2.251083240861318502e-01
9.147317853690709599e-01,2.451016348594373673e-01
9.127179487438428218e-01,2.617176513588920783e-01
9.166181377343506353e-01,2.802382782455462018e-01
8.735454190034457334e-01,2.838321023518000641e-01
9.256626627886050951e-01,3.187312042577178928e-01
9.204289218182941656e-01,3.350087185034094639e-01
8.663626148118648285e-01,3.325654373139249609e-01
9.276474175588824700e-01,3.747938715892377703e-01
8.947307251320659738e-01,3.797906463651732345e-01
9.217673209323692385e-01,4.103972374599935136e-01
9.126519199077833822e-01,4.255765637652470512e-01
9.091301852121652649e-01,4.434124020202606653e-01
9.262012874042260258e-01,4.719231094631585743e-01
9.160580511036883200e-01,4.870766871045059121e-01
9.319073247837584839e-01,5.165646452522068000e-01
9.184199720139483158e-01,5.302499972842679155e-01
9.420268537813006882e-01,5.660268160137618132e-01
9.375171663506761677e-01,5.858257205376599108e-01
9.393110514882270223e-01,6.099957042744100777e-01
9.475899632612836410e-01,6.391574741698445861e-01
9.453015081535453001e-01,6.619072139902462126e-01
9.182342944898798098e-01,6.671362370417798227e-01
9.367995457519300295e-01,7.059290610859009218e-01
9.054243154930317061e-01,7.073949722324546219e-01
9.205293914905520181e-01,7.454299696808790454e-01
9.292119724452676532e-01,7.797013875250191628e-01
9.347078332363429887e-01,8.125290850944164589e-01
9.385919431668536816e-01,8.451119411829688399e-01
8.542211303181779236e-01,7.965740520616001463e-01
9.045697726530155247e-01,8.735328319577420064e-01
9.256028109311811303e-01,9.256027637943862185e-01
9.714797334223848058e-01,1.005996660790779762e+00
1.029817546559734565e+00,1.104344055082801201e+00
9.625443577838395104e-01,1.069013751443686822e+00
9.427568785041497978e-01,1.084517667991532930e+00
9.365415899248713538e-01,1.116126740277787466e+00
8.829365383071021700e-01,1.090335756221101349e+00
9.284174763446045864e-01,1.188320107958919625e+00
9.147588601173957112e-01,1.213925932605991020e+00
9.075404150146532123e-01,1.249122139060103054e+00
9.108394553225841461e-01,1.300813466419216802e+00
9.106456775497114853e-01,1.350087645400161129e+00
9.038285250542970051e-01,1.391773780753865708e+00
9.072218345851108534e-01,1.451858321359896564e+00
9.041494310168151083e-01,1.504757233229572888e+00
8.965000441344606052e-01,1.552783503682706012e+00
8.905953338594088109e-01,1.606676382118452873e+00
8.819023817173617941e-01,1.658617008773868529e+00
8.739317514934338282e-01,1.715187485422312363e+00
8.603034812566328071e-01,1.763883370423026786e+00
-5.116542022339116702e-01,2.901736135188133225e+00
-5.475262363332892290e-01,2.816779157429542213e+00
-5.764350142037361069e-01,2.711914293617131211e+00
-6.270508842348960776e-01,2.716056499211092046e+00
-5.311530861749725885e-01,1.852351363934208628e+00
-5.272922466435436828e-01,1.724695599111910838e+00
-5.551489159627946979e-01,1.708573034611799324e+00
-6.506478367222929826e-01,1.889618903546003814e+00
-6.901965742563609396e-01,1.896299869998597787e+00
-6.735524622414859053e-01,1.754664483287010190e+00
-6.849680607661647880e-01,1.695355751548387468e+00
-6.913986344218204794e-01,1.628833398193505699e+00
-6.753861181465244945e-01,1.516942321285452255e+00
-6.840075587583748229e-01,1.466859192642274490e+00
-6.869275083702870432e-01,1.408410343925056374e+00
-6.709978376607917960e-01,1.316907620893647657e+00
-6.856631322426058883e-01,1.289545006835598695e+00
-6.741277283519064856e-01,1.216158808224986121e+00
-6.824999245012984828e-01,1.182124730767033283e+00
-6.888633958158350001e-01,1.146461393599001566e+00
-6.518006331066511505e-01,1.043099219442976011e+00
-6.783478931969836312e-01,1.044564313171128855e+00
-6.961950950675813710e-01,1.032151830632047407e+00
-7.272948516561129617e-01,1.038684849068349125e+00
-7.441360754389828580e-01,1.024215594164716858e+00
-1.369129104499498872e+00,1.816895959909158753e+00
-1.426487452073172291e+00,1.825820950285030664e+00
-1.501243628720567047e+00,1.853881765061315301e+00
-1.576757912472428025e+00,1.879107187555803415e+00
-1.631946664172887251e+00,1.877340165784693538e+00
-1.702602602411475097e+00,1.890932042045105677e+00
-1.752735598381612858e+00,1.879579096243048530e+00
-1.862378940998356880e+00,1.928550141801925744e+00
-1.919087816690981718e+00,1.919088109882586934e+00
-2.043644278516625334e+00,1.973524643388973709e+00
-2.126776404987229974e+00,1.983251390726106456e+00
-2.181501589535368435e+00,1.964233162306861180e+00
-2.225260983245670232e+00,1.934390168191572279e+00
-2.331839243820543750e+00,1.956645764237783247e+00
-2.380009353196113064e+00,1.927293887475135525e+00
-2.503115878450142606e+00,1.955648781204118780e+00
-2.587978191183475385e+00,1.950181775860224231e+00
-2.673800869245127387e+00,1.942630375790085573e+00
-2.690504834892660124e+00,1.883912095958597988e+00
-3.128574264738631872e+00,1.458878472810553939e+00
-2.660244431895959938e+00,1.184417412382994250e+00
-2.550258549406407393e+00,1.082520796423599885e+00
-2.521940019853645243e+00,1.018930170276768798e+00
-2.591619195820966226e+00,9.948296693039890837e-01
-3.199183429216139629e+00,1.164407870197297523e+00
-3.187815792064271569e+00,1.097653328130359984e+00
-1.654885420176268385e+00,-5.059490455332560366e-01
-1.721887909922756865e+00,-5.594750833591406458e-01
-3.176532142082697963e+00,-1.283401870266283717e+00
-3.101641182951368148e+00,-1.316568150617932087e+00
-2.842953599837711121e+00,-1.265764100431739703e+00
-2.733877584014964945e+00,-1.274827667807076459e+00
-2.700426786770691479e+00,-1.317085757296562853e+00
