x,y
3.325965513250105143e+00,9.537052315301712824e-01
1.401669306403682924e+00,6.836397735990750180e-01
1.362349025176601947e+00,6.941514732043886360e-01
1.354883095181873554e+00,7.204040929720385567e-01
1.321987700199888538e+00,7.327897197717547773e-01
1.280418579477342833e+00,7.392499825562111049e-01
1.259607417244814176e+00,7.568484623856830407e-01
1.238150266747794603e+00,7.736821235762958437e-01
1.248780559598077877e+00,8.109675444883968076e-01
1.158994543052962012e+00,7.817516578213329348e-01
1.281563369969263899e+00,8.973602945215244375e-01
1.226065328671566812e+00,8.907885652340521432e-01
1.204342285894628439e+00,9.075369677140893154e-01
1.087848831314231601e+00,8.499206180492306917e-01
9.481181121547828106e-01,7.677708741629961642e-01
9.031664309317369854e-01,7.578465842517687623e-01
8.935761725204041106e-01,7.767738796049966643e-01
8.653921663689244648e-01,7.792025692623740785e-01
8.022950309719987239e-01,7.481521834190714149e-01
7.808433734131985382e-01,7.540516430176051887e-01
7.735748255027868892e-01,7.735747861080946031e-01
7.550935948437491607e-01,7.819222664803090472e-01
6.809753747887192787e-01,7.302566452843819444e-01
6.681269235836000409e-01,7.420300822967695886e-01
6.452340780947272147e-01,7.422568571382531788e-01
6.064701571600652485e-01,7.227629470690364322e-01
6.035182711225127727e-01,7.452829529507348783e-01
5.254670942640810027e-01,6.725671695057394706e-01
5.488553232446318209e-01,7.283555690840716190e-01
4.855106242376574510e-01,6.682480024587739154e-01
4.706194962420860439e-01,6.721142509733727399e-01
4.825835180976596472e-01,7.154594390767629042e-01
4.607646226138034096e-01,7.095152488292142401e-01
4.337389627915082535e-01,6.941273880548166630e-01
4.156357399676259279e-01,6.917339818503733806e-01
3.550000399488060232e-01,6.148780576708268164e-01
3.638496250820488220e-01,6.564020459535284679e-01
3.575026190970858053e-01,6.723645802622041368e-01
3.409468833130693266e-01,6.691458760400831318e-01
3.474091679864194093e-01,7.122942862542560594e-01
4.209278184681398138e-01,9.026825330602333830e-01
3.918907977844349744e-01,8.802010547127340212e-01
3.762741101551054790e-01,8.864461591707616384e-01
3.343364102119857906e-01,8.275115618625286107e-01
3.434957244874118354e-01,8.948368512061207758e-01
3.050820077333700753e-01,8.382058240284145922e-01
2.912207537289746573e-01,8.457663704048231645e-01
2.609648860918630242e-01,8.031672223679315881e-01
2.558252761960854715e-01,8.367666509004745290e-01
2.433878251959506189e-01,8.487940829068001403e-01
2.080905504033163100e-01,7.766043748502319266e-01
2.018838458549850612e-01,8.097117314042869829e-01
1.906460470267202501e-01,8.257785890760052094e-01
1.784922244224508570e-01,8.397397110834764478e-01
1.524564270971855984e-01,7.843201370996549793e-01
1.413496547301646700e-01,8.016335148844906389e-01
1.225664319644032135e-01,7.738537659097907140e-01
1.045190315355939287e-01,7.436913020260541574e-01
8.750222865890885937e-02,7.126481867232085099e-01
8.675866200182751065e-02,8.254531524341124360e-01
6.654344400856344877e-02,7.605946240913763479e-01
5.245690296420656151e-02,7.501681375562400111e-01
4.440710128360751685e-02,8.473371713863271371e-01
2.662835435295223679e-02,7.625352111267634792e-01
1.348202353548147263e-02,7.723823819705256666e-01
4.333761040298164422e-08,8.510000109672535284e-01
-1.465997770346541725e-02,8.398720384641824577e-01
-2.922828408493977764e-02,8.369897953227020126e-01
-4.097901219157108754e-02,7.819269202503335014e-01
-5.015486520841491019e-02,7.172485367288220504e-01
-6.379796391074649131e-02,7.292145157822825796e-01
-7.181102093916669205e-02,6.832365820599182182e-01
-9.609393565620338862e-02,7.826226567289386038e-01
-9.623815417465476918e-02,6.847703238741824627e-01
-1.263207865882513270e-01,7.975583468164856304e-01
-1.106138475501390328e-01,6.273225101778637791e-01
-1.423434671537558982e-01,7.322938790295532296e-01
-1.607156937594710067e-01,7.561081065087008612e-01
-1.675884942520155796e-01,7.259057126784551617e-01
-1.832557909337121649e-01,7.349990164980734209e-01
-2.131374305818951875e-01,7.954399089645054488e-01
-2.089330764752111991e-01,7.286363936372505234e-01
-2.257109156695507324e-01,7.382672994051320270e-01
-2.450504251458255067e-01,7.541878160712728318e-01
-2.684308837802130143e-01,7.795800487739817930e-01
-2.819955478796410953e-01,7.747765502320853592e-01
-2.718844869704517553e+00,2.201677523383611224e+00
-2.646533952856348737e+00,2.067699279876518137e+00
-2.686609567077592686e+00,2.024505861145025953e+00
-2.658834176095250079e+00,1.931756434849865478e+00
-2.612685176418727107e+00,1.829422174958973191e+00
-2.587426162459674828e+00,1.745241294283486289e+00
-2.617490744359793897e+00,1.699818674048472644e+00
-2.707817495648074058e+00,1.692032478900940662e+00
-2.765221632474758273e+00,1.661513099142926553e+00
-2.697669008853439188e+00,1.557500233735331863e+00
-2.689892791920136084e+00,1.491032222444808930e+00
-2.669150452833650711e+00,1.419212764764236301e+00
-2.749200510811749876e+00,1.400787925819844126e+00
-2.715706194903878767e+00,1.324538705163031960e+00
-2.732517745157100109e+00,1.274194242378184905e+00
-2.033551955456769367e+00,9.053958787207725400e-01
-1.957453616442288435e+00,8.308899693039247802e-01
-1.966093373940933420e+00,7.943534899794800763e-01
-1.948382183093887887e+00,7.479140477160514111e-01
-1.962077959068811328e+00,7.141381755781847085e-01
-1.970933479345894579e+00,6.786470217360519586e-01
-1.964407195853562271e+00,6.382747884340836952e-01
-1.980507188601280832e+00,6.055020121445000569e-01
-1.969144590402868378e+00,5.646433229465818160e-01
-1.989324169210154425e+00,5.330380036885455919e-01
-1.976977403453494819e+00,4.929160249089113432e-01
-1.996484243349828436e+00,4.609249045863708094e-01
-1.969011091685649584e+00,4.185264231715841721e-01
-1.987795103147706133e+00,3.863884239209394167e-01
-1.975524360359084852e+00,3.483384417173192027e-01
-1.979821161724276246e+00,3.135730630123600982e-01
-1.970138341144588745e+00,2.768850824732447813e-01
-1.985092279423018136e+00,2.437388811312750370e-01
-1.988546545252191544e+00,2.090048618760612931e-01
-1.975952170346907177e+00,1.728736117348479706e-01
-1.983157234387208367e+00,1.386760614471255759e-01
-1.983278306564207005e+00,1.039394109250940668e-01
-1.985789554865399875e+00,6.934549955589831838e-02
-1.995696047494446512e+00,3.483520628202835256e-02
-1.977999925613393106e+00,2.014613138628001781e-07
